# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2003-01-31;1983.4;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2003-02-28;1941.4;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2003-03-31;1930.7;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2003-04-30;2063.1;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2003-05-31;2048.4;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2003-06-30;1980.3;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2003-07-31;1968.7;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2003-08-31;1999.7;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2003-09-30;1920.9;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2003-10-31;1889.2;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2003-11-30;1931.1;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2003-12-31;1763.6;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2004-01-31;1818.5;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2004-02-29;1886.1;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2004-03-31;1806.9;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2004-04-30;1843.9;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2004-05-31;1856.9;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2004-06-30;1601;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2004-07-31;1697.3;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2004-08-31;1667.6;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2004-09-30;1615.6;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2004-10-31;1645.9;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2004-11-30;1609.7;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2004-12-31;1414;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2005-01-31;1476.4;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2005-02-28;1555.9;
12528879;Empréstimos vencidos-SNF-PRT-M€ (OIFM);Valor em fim do período;Milhões de euros;2005-03-31;1527.8;
