# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2003-01-31;4.7;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2003-02-28;4.7;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2003-03-31;4.9;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2003-04-30;4.8;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2003-05-31;5.5;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2003-06-30;5.6;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2003-07-31;5.7;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2003-08-31;5.8;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2003-09-30;5.5;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2003-10-31;5.6;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2003-11-30;5.6;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2003-12-31;5.1;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2004-01-31;5.4;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2004-02-29;5.5;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2004-03-31;5.2;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2004-04-30;5.1;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2004-05-31;5.2;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2004-06-30;4.9;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2004-07-31;5;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2004-08-31;5;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2004-09-30;4.9;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2004-10-31;5.1;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2004-11-30;5.1;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2004-12-31;4.6;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2005-01-31;4.8;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2005-02-28;5;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2005-03-31;4.8;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2005-04-30;4.9;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2005-05-31;4.7;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2005-06-30;4.7;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2005-07-31;4.2;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2005-08-31;4.2;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2005-09-30;4.2;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2005-10-31;4.2;
12556269;Rácio empréstimos vencidos-Particulares-PRT-Consumo e outros fins-% (OIFM);Rácio de empréstimos vencidos;Percentagem;2005-11-30;4.3;
