# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12457924;Endividamento dos particulares;Valor;Milhões de euros;2007-12-31;156083.31;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2008-03-31;158296.02;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2008-06-30;160952.95;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2008-09-30;162444.83;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2008-12-31;163756.38;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2009-03-31;163300.40;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2009-06-30;164493.72;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2009-09-30;164923.60;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2009-12-31;165608.65;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2010-03-31;166772.33;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2010-06-30;167537.50;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2010-09-30;167889.18;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2010-12-31;168658.01;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2011-03-31;167278.25;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2011-06-30;166648.48;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2011-07-31;166306.44;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2011-08-31;165860.86;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2011-09-30;165525.90;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2011-10-31;165038.15;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2011-11-30;164490.25;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2011-12-31;163834.05;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2012-01-31;163271.03;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2012-02-29;163402.80;
12457924;Endividamento dos particulares;Valor;Milhões de euros;2012-03-31;162027.89;
