# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2003-03-31;-1.6;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2003-06-30;-1.9;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2003-09-30;-0.6;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2003-12-31;0.4;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2004-03-31;1.3;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2004-06-30;2.8;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2004-09-30;2.0;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2004-12-31;1.2;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2005-03-31;1.1;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2005-06-30;0.8;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2005-09-30;0.3;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2005-12-31;1.0;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2006-03-31;0.9;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2006-06-30;1.5;
12518314;PIB a preços de mercado-Trim-Dados encadeados volume-TVH (vcsc);Taxa de variação homóloga;Percentagem;2006-09-30;1.8;
